Keertana Finserv Private Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Groups Loans,137.06588521400022,690.2423439540003,302.3741198,3.2468732,,,,,,,
,,,,,,,,,,,
No of Loans Disbursed,181268,609299,895308,102928,,,,,,,
Gold Loans,145108,251543,453261,58318,,,,,,,
PL-Un-Secured Loans,0,205242,357249,43670,,,,,,,
BL-Un-Secured Loans,5656,6168,262,0,,,,,,,
LAP/HL Loans,678,1490,2402,167,,,,,,,
Groups Loans,29826,144856,82134,773,,,,,,,
,,,,,,,,,,,
No of Loans given to New Customers,41879,180058,146184,7404,,,,,,,
Gold Loans,13395,41378,65689,6513,,,,,,,
PL-Un-Secured Loans,0,0,0,0,,,,,,,
BL-Un-Secured Loans,5643,6157,58,0,,,,,,,
LAP/HL Loans,640,1151,1988,121,,,,,,,
Groups Loans,22201,131372,78449,770,,,,,,,
,,,,,,,,,,,
No of Loans given to Exsisting customers,139389,429241,749124,95524,,,,,,,
Gold Loans,131713,210165,387572,51805,,,,,,,
PL-Un-Secured Loans,0,205242,357249,43670,,,,,,,
BL-Un-Secured Loans,13,11,204,0,,,,,,,
LAP/HL Loans,38,339,414,46,,,,,,,
Groups Loans,7625,13484,3685,3,,,,,,,
,,,,,,,,,,,
Collections (Rs in Cr),941.4677158511502,2258.621425387,5088.1481632800005,812.9424594329998,,,,,,,
Gold Loans,917.1391955260002,1891.977586455,4149.4438150239,703.5055041999999,,,,,,,
PL-Un-Secured Loans,0,159.1827324,399.61661279300006,67.6944081,,,,,,,
BL-Un-Secured Loans,7.667570455999994,47.41085685,55.5005722574,2.5762504150000005,,,,,,,
LAP/HL Loans,1.073869341000002,9.794422116,26.447304871999997,3.2396708450000062,,,,,,,
Groups Loans,15.587080528150004,150.25582756600002,457.1398583337001,35.92662587299992,,,,,,,
,,,,,,,,,,,
No of LOs,693,956,1586,1535,,,,,,,
Gold Loans,428,421,734,737,,,,,,,
MSME Loans,155,217,231,208,,,,,,,
Group Loans,110,318,621,590,,,,,,,
,,,,,,,,,,,
AUM Per Branch,3.292619091664054,5.4596103817444055,5.842029809802488,5.9045164051404875,,,,,,,
Gold Loans AUM per Branch,3.0992009074758062,4.9708493475914475,6.675510143996032,6.833731209528736,,,,,,,
MSME AUM per Branch,2.5410738155277777,3.4767199452325586,4.397200143755556,4.580323007022727,,,,,,,
Group Loans AUM per Branch,5.334161159913999,7.212967032967033,4.460889721758095,4.149653982015239,,,,,,,
,,,,,,,,,,,
AUM per LO,0.8789820085971861,1.6333144029067992,1.4807666983232033,1.577102101698762,,,,,,,
Gold Loans AUM per LO,0.8978993283341121,1.794700952099525,2.29186451810218,2.420086629154681,,,,,,,
MSME AUM per LO,0.5901848861870967,0.688935288686636,0.8565974306017315,0.9689144822548077,,,,,,,
Group Loans AUM per LO,1.212309354525909,2.0640880503144654,0.7542567162392915,0.7384977425620339,,,,,,,
